"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"cloud",4,2,5,3,0,0,0,0,2,0,0,1,0,0,0,2,5,0,0,1,0,1
"clouds",3,0,9,1,0,0,0,0,2,0,1,1,0,0,0,4,10,1,0,1,0,0
"club",3,41,0,7,1,0,0,3,1,0,1,0,0,0,3,0,0,0,1,0,1,0
"clutching",1,0,3,1,1,1,0,2,0,0,2,0,3,0,0,1,4,1,2,0,0,0
"coat",4,2,0,1,0,2,2,1,0,0,4,0,3,0,0,4,0,2,1,0,1,0
"collapses",4,2,3,1,1,2,0,0,0,0,4,0,2,0,0,0,2,2,1,0,0,0
"color",2,0,2,1,0,0,4,0,0,0,2,1,0,0,1,1,3,3,0,1,3,0
"comfortable",1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,2,0,0,0,1,1,2
"command",2,1,3,2,2,0,0,0,0,1,0,3,0,0,0,0,1,0,3,17,8,13
"company",1,7,0,2,2,9,0,2,0,0,0,3,0,0,2,1,0,1,2,0,4,11
"complete",1,3,0,2,2,3,1,2,0,0,1,4,4,3,1,0,1,0,0,1,7,0
"computer",12,8,0,0,1,4,11,2,0,0,0,2,6,0,0,4,32,4,16,17,0,0
"concerned",1,1,0,1,0,0,2,0,0,0,4,5,1,3,0,3,0,0,0,1,2,0
"consider",2,2,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1
"construction",3,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,2,0,1
"copy",5,10,3,0,0,1,4,7,2,0,0,2,0,0,0,0,0,2,6,1,1,0
"corridor",1,0,12,0,0,0,1,0,0,0,14,43,3,62,0,0,29,17,6,2,0,0
"count",2,1,0,0,0,1,2,1,0,0,2,0,1,0,3,0,1,1,1,2,0,3
