"","Action_Batman.txt","Action_Fight-Club.txt","Adventure_Avatar.txt","Adventure_Dances-with-Wolves.txt","Comedy_Austin-Powers---The-Spy-Who-Shagged-Me.txt","Comedy_Horrible-Bosses.txt","Crime_American-History-X.txt","Crime_Fargo.txt","Family_Happy-Fee.txt","Family_Shrek.txt","Fantasy_Butterfly-Effect,-The.txt","Fantasy_Star-Wars-The-Force-Awakens.txt","Horror_Scream-2.txt","Horror_Shining,-The.txt","Romance_Midnight-in-Paris.txt","Romance_Twilig.txt","SciFi_Alien.txt","SciFi_Men-in-Black.txt","Thriller_Eagle-Eye.txt","Thriller_Hunt-for-Red-October,-The.txt","War_Inglourious-Basterds.txt","War_Saving-Private-Ryan.txt"
"waste",4,3,0,0,1,7,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1
"weak",1,2,5,1,3,4,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,3
"weapon",2,0,2,0,2,0,1,0,0,0,2,25,0,0,0,1,1,18,0,9,3,2
"weapons",1,0,13,2,1,0,0,0,0,1,0,6,1,0,1,0,1,11,13,6,2,5
"weeks",1,5,2,0,0,1,0,2,0,0,2,0,1,0,0,1,1,0,1,2,3,1
"weight",3,0,7,2,4,1,0,4,2,0,1,0,0,0,0,1,2,1,1,2,1,1
"weird",1,0,0,3,0,4,0,0,1,0,6,1,1,0,0,2,1,1,8,3,0,0
"west",1,0,2,1,0,0,1,0,0,0,0,1,0,3,0,0,0,1,1,2,0,3
"whatd",1,0,0,0,0,0,0,3,0,2,1,2,1,0,0,0,1,0,2,0,2,1
"wheels",2,2,10,4,0,1,1,2,1,0,0,0,0,0,0,1,0,4,0,3,0,3
"wheres",2,3,0,1,5,0,3,11,3,1,2,4,6,0,3,2,4,0,9,0,0,1
"whip",1,0,0,0,0,0,1,0,0,1,1,2,1,1,0,3,0,1,3,2,2,0
"whips",5,1,2,1,0,0,0,0,0,0,4,2,0,0,0,6,0,7,4,1,0,0
"whisper",1,3,3,2,0,0,1,0,0,0,3,1,2,0,0,2,1,1,2,0,0,0
"whispers",3,3,1,5,0,1,0,0,0,1,3,1,0,0,0,0,1,2,1,7,2,0
"whose",2,1,1,1,0,2,0,3,1,0,5,3,0,0,0,0,3,0,1,3,0,1
"wife",6,0,0,10,2,9,0,20,2,2,0,1,0,8,6,2,0,5,0,5,12,2
"wild",2,3,6,9,1,0,0,0,2,2,0,2,0,0,1,4,1,0,1,1,0,0
"wind",7,1,6,162,1,0,1,0,13,0,2,5,0,0,0,3,9,0,4,7,0,2
"windows",5,12,3,0,0,4,1,0,0,1,0,2,3,1,0,3,2,1,4,2,0,3
"winds",1,0,1,1,0,1,1,0,0,1,1,0,0,2,0,0,1,0,0,3,0,1
"wipes",3,4,2,0,0,3,4,0,1,0,6,1,1,1,0,1,0,3,2,2,2,2
"wire",1,10,1,0,0,3,0,2,0,1,0,0,0,0,0,0,12,1,2,3,1,2
"within",5,0,5,1,0,0,1,1,0,0,1,3,4,1,0,2,2,1,2,2,1,3
"womans",1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,2,45,0,2,0
"wonder",4,1,3,1,0,2,4,1,1,1,1,1,0,1,1,0,1,0,1,0,0,2
"wondering",1,1,0,3,1,0,1,2,3,0,0,0,0,0,0,0,1,2,1,0,0,1
"wooden",4,0,3,2,1,2,0,1,0,4,5,1,1,0,1,1,0,2,3,0,5,1
"worked",1,6,3,4,3,4,0,2,0,0,1,2,0,0,2,1,0,1,4,1,2,2
"worry",1,4,0,1,7,0,0,4,1,0,2,1,2,3,0,3,1,2,0,0,1,3
"worth",3,1,3,2,0,2,0,0,1,0,3,2,2,0,1,2,0,4,1,0,4,8
"wrapped",7,2,0,2,0,0,0,1,1,1,2,2,0,0,1,0,2,0,1,1,0,0
"wraps",1,0,0,0,0,0,3,1,0,0,1,2,1,0,1,7,1,3,0,1,0,0
"wrist",2,1,0,1,0,0,0,4,0,0,1,1,0,1,0,2,0,0,3,0,1,1
"yanks",4,3,8,0,0,2,0,1,0,0,1,3,1,0,0,2,6,3,8,0,2,3
"yard",1,2,1,4,0,1,3,0,0,0,3,0,15,0,0,2,1,5,1,0,0,1
"yellow",7,1,4,3,4,0,1,0,5,0,2,1,2,1,0,0,3,3,0,0,1,0
"zero",1,4,2,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,2,5,0,3
"agree",0,1,0,1,0,1,1,1,1,0,0,0,1,1,7,0,2,0,1,1,3,1
"alright",0,4,5,9,14,0,3,0,0,0,2,4,5,0,0,10,0,0,4,4,0,8
"angry",0,1,4,5,1,2,1,1,0,1,3,1,2,0,0,6,0,1,0,6,0,0
"animals",0,4,8,4,1,0,0,0,0,0,1,2,0,1,1,4,0,0,0,0,2,2
"answers",0,8,2,1,0,3,1,0,2,1,5,0,2,0,0,3,0,3,9,4,4,1
"anybody",0,1,2,0,0,1,1,0,0,1,0,0,0,8,1,0,4,2,1,1,6,4
"anymore",0,5,2,1,0,4,6,1,0,0,3,1,3,1,2,4,0,3,2,0,0,2
"arrives",0,2,1,0,0,0,1,0,0,1,0,7,1,0,0,0,3,1,2,2,0,0
"asking",0,4,0,3,0,0,1,1,0,1,0,0,1,0,2,1,0,1,1,0,0,0
"awake",0,5,2,2,0,2,0,0,1,1,4,1,0,2,2,2,2,0,0,1,0,2
"aware",0,3,3,3,1,2,0,1,1,0,1,0,2,1,0,1,0,1,1,0,11,0
"bare",0,2,2,1,2,0,0,3,1,1,1,1,2,1,0,5,3,1,0,0,4,1
"barrel",0,6,2,4,1,1,1,1,0,1,0,0,0,0,0,1,0,3,2,1,1,4
"beating",0,2,2,2,1,0,1,0,0,0,1,0,3,0,2,0,1,0,2,0,3,0
"becomes",0,2,1,0,4,1,3,1,1,0,4,3,4,0,1,2,3,1,2,2,0,0
"beer",0,5,1,0,1,0,4,2,0,6,9,0,0,1,0,2,0,2,0,0,11,0
"bird",0,1,1,197,2,1,0,0,3,5,0,0,0,0,0,1,1,0,0,0,1,0
"birds",0,1,1,48,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3,2
"bite",0,3,1,1,1,0,5,1,2,0,2,0,1,1,0,5,1,1,0,0,4,1
"bites",0,1,2,4,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0
"blank",0,2,4,6,0,0,0,1,0,0,1,0,1,0,0,2,5,4,3,0,1,1
"blasts",0,2,6,0,1,0,1,0,1,0,0,16,0,0,0,5,0,3,0,1,0,5
"bleeding",0,4,4,2,0,0,3,1,0,0,3,0,0,0,0,0,1,0,3,0,1,3
"blown",0,4,2,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,1,2
"boom",0,3,0,1,0,2,0,1,7,1,4,1,0,0,0,2,1,1,0,0,0,6
"born",0,2,2,2,1,0,0,0,1,1,0,0,1,0,6,0,0,3,3,0,9,0
"bother",0,2,0,2,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0
"boxes",0,2,0,2,0,1,0,0,0,0,2,1,0,3,0,1,0,1,3,0,2,2
"built",0,2,1,1,1,0,0,0,0,1,0,3,0,2,0,0,3,0,0,4,2,0
"bullshit",0,2,1,0,0,4,3,1,0,0,3,0,1,0,0,0,0,1,4,0,0,1
"bunch",0,1,1,2,0,0,2,5,3,2,0,1,0,0,0,0,0,0,1,0,4,2
"careful",0,1,0,2,2,1,3,0,0,0,3,2,0,0,0,2,4,0,2,5,0,1
"certain",0,2,1,3,1,0,1,0,0,1,3,1,0,0,1,2,5,2,0,0,2,3
"changed",0,1,1,1,6,0,1,4,1,0,4,1,1,0,0,4,0,0,5,0,4,1
"choking",0,1,1,1,0,0,1,0,4,0,2,0,0,0,0,1,3,2,2,0,0,1
"class",0,1,0,0,0,0,6,0,9,0,6,0,4,0,1,13,0,0,4,10,0,1
"confused",0,1,1,3,4,3,1,0,0,0,7,6,2,1,0,7,1,1,4,2,5,0
"cool",0,2,1,0,2,4,3,0,1,4,6,0,8,0,0,0,0,2,0,3,5,0
"country",0,1,0,12,1,1,9,1,4,0,3,0,0,0,1,0,0,2,5,0,13,4
"covering",0,2,2,3,0,0,3,0,0,0,1,0,0,0,0,1,1,2,1,1,4,5
"crack",0,2,3,3,1,1,2,1,3,2,1,0,4,0,0,0,0,2,0,1,0,1
"crosses",0,2,11,0,1,1,2,2,0,1,1,2,1,1,1,2,0,1,0,0,2,1
"curb",0,4,0,0,0,2,3,0,0,1,1,0,2,0,0,2,0,4,3,1,0,0
"curtain",0,2,1,1,0,1,0,12,1,1,0,0,4,3,0,2,1,0,1,0,1,0
"dance",0,1,6,5,7,0,1,1,7,1,1,0,0,0,3,10,0,1,1,1,0,0
"dangerous",0,1,1,0,0,3,0,1,1,1,2,2,0,0,0,3,1,3,1,1,0,1
"deeper",0,1,2,2,0,0,0,1,1,0,0,1,1,0,0,0,0,2,0,1,1,4
"definitely",0,2,2,1,0,1,0,0,1,1,1,0,1,0,3,1,2,0,1,0,1,0
"directions",0,1,4,2,1,0,1,0,0,0,0,1,0,0,0,0,3,0,1,1,0,3
"dress",0,4,0,6,3,2,0,0,0,2,2,0,0,1,1,3,0,1,0,0,10,0
"drinking",0,3,0,0,2,2,0,0,0,0,1,1,2,1,6,1,1,0,0,1,5,0
"dropped",0,1,0,1,0,0,1,0,3,1,1,1,0,0,4,1,0,0,4,0,3,1
"eating",0,4,0,0,2,1,6,8,4,4,0,0,0,3,1,2,6,3,3,0,0,1
"eats",0,2,0,0,0,0,5,1,0,3,4,1,1,0,0,1,2,2,0,1,1,0
"effect",0,1,3,1,4,0,0,0,0,0,4,0,0,1,0,0,2,0,2,0,3,1
"evidence",0,2,0,0,1,3,1,0,0,0,2,0,2,0,0,2,1,1,4,0,1,0
"excited",0,1,1,4,1,1,1,1,2,0,3,0,0,0,1,0,1,0,0,1,3,0
"exploding",0,2,5,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0
"extra",0,1,0,3,2,1,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,1
"facing",0,6,4,1,0,0,0,4,0,0,1,2,2,0,0,3,1,2,4,0,2,0
"faster",0,1,2,2,0,1,2,0,1,0,0,0,0,0,0,5,0,4,0,2,1,0
"fell",0,2,1,4,0,0,0,0,0,0,0,1,1,1,2,2,0,1,1,0,1,0
"finish",0,2,1,1,1,1,2,3,0,0,3,2,3,2,3,0,1,0,0,0,5,0
"finished",0,1,1,8,0,1,1,0,0,0,2,0,0,2,4,0,1,1,0,1,5,1
"floating",0,2,11,1,1,0,0,0,1,0,0,0,0,2,0,1,2,0,2,2,0,0
"forest",0,4,70,7,1,0,0,0,0,3,2,24,0,3,0,19,0,1,4,0,0,0
"freaked",0,1,1,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,2,1,0,1
"fuck",0,18,0,0,0,25,35,12,0,0,15,0,2,5,0,0,0,0,12,1,14,8
"fucking",0,13,1,0,0,12,62,25,0,0,11,0,2,4,0,0,1,0,12,2,12,12
"gave",0,3,2,0,0,1,5,1,1,0,3,3,2,0,1,2,0,3,6,1,4,3
"glad",0,2,0,4,0,2,1,0,0,0,0,1,0,6,3,4,0,0,0,1,2,2
"goddamn",0,1,6,1,0,0,5,4,0,0,2,0,0,1,0,0,2,2,3,0,5,9
"grow",0,2,1,0,0,0,1,0,1,0,3,1,0,0,0,0,2,2,1,2,2,1
"grunts",0,1,0,2,0,0,0,1,0,1,0,1,0,1,0,1,1,2,0,0,0,1
"harder",0,3,1,2,0,0,2,0,0,0,1,1,0,0,1,3,2,3,0,0,0,0
"heading",0,6,1,4,2,1,1,0,2,1,0,3,5,0,0,4,0,1,5,6,1,3
"held",0,1,2,5,0,0,0,0,0,0,0,4,2,0,0,0,4,3,1,0,2,2
"helps",0,3,4,1,0,0,3,1,0,0,2,2,2,1,0,4,0,1,0,4,0,2
"hiding",0,1,0,0,1,1,1,0,0,1,2,3,1,0,0,0,3,3,4,3,8,2
"holes",0,2,3,5,0,0,0,0,2,0,0,0,2,0,0,0,2,3,0,2,4,2
"hospital",0,1,1,4,1,1,2,1,0,0,6,0,0,0,0,8,0,0,0,0,3,0
"hurries",0,2,0,1,1,6,3,0,1,0,0,9,1,0,0,7,6,5,0,0,0,2
"including",0,6,1,2,2,1,6,0,0,0,2,7,0,0,0,0,2,1,0,1,2,5
"instead",0,3,0,2,1,3,1,1,1,2,0,1,0,0,0,6,0,5,1,0,3,2
"interest",0,1,0,3,1,0,0,4,1,0,1,1,0,1,0,1,2,0,0,0,2,1
"jams",0,1,3,1,0,1,1,0,0,0,2,0,0,0,0,0,2,2,1,0,1,0
"joins",0,2,2,1,2,1,1,0,1,0,0,1,1,0,1,2,0,1,0,1,6,5
"jump",0,1,5,1,0,3,0,1,2,0,1,1,1,0,1,0,1,3,5,5,2,0
"kidding",0,1,0,0,0,2,2,0,2,2,5,1,0,0,2,0,1,1,7,1,0,4
"killing",0,1,3,9,0,10,2,0,0,0,2,0,1,0,0,3,0,1,1,0,7,2
"leader",0,25,3,2,0,0,4,0,1,0,0,14,0,0,0,0,1,1,4,0,2,0
"liked",0,1,0,0,0,1,0,3,2,0,0,0,1,1,3,2,0,1,0,0,1,1
"listens",0,2,1,5,0,0,5,1,0,0,2,2,3,1,2,1,2,0,1,3,2,3
"lived",0,1,3,1,0,0,0,0,1,0,1,0,1,0,5,1,0,0,1,0,3,1
"locks",0,3,2,0,0,0,1,1,0,0,3,0,2,2,0,1,2,4,6,4,3,3
"looked",0,2,0,1,0,0,1,3,2,0,1,2,0,0,1,2,0,2,1,0,1,0
"louder",0,3,4,5,3,0,1,4,6,0,0,2,0,0,0,1,1,2,2,8,2,7
"mark",0,2,0,0,0,0,1,0,1,0,1,1,0,1,2,0,0,1,1,1,11,1
"marks",0,1,2,0,1,1,0,0,0,0,2,3,0,0,0,1,1,1,1,0,0,0
"means",0,4,2,2,6,2,0,0,0,1,0,2,0,3,3,2,2,4,8,3,12,3
"medical",0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,4,2,2,1,2,1
"mistake",0,1,1,1,1,2,1,0,0,0,0,3,2,1,1,1,1,0,3,2,1,0
"month",0,4,1,1,0,3,0,1,1,0,0,0,0,1,2,1,0,0,2,0,1,0
"months",0,5,4,0,0,1,1,3,0,0,0,0,0,4,1,0,0,3,3,4,1,0
"motions",0,2,3,2,0,0,1,0,0,1,0,2,2,0,0,0,0,1,0,0,1,21
"moved",0,2,0,1,0,2,1,0,1,0,5,1,1,0,3,3,1,2,1,1,3,0
"movie",0,5,0,0,4,7,0,0,0,0,11,0,44,1,4,1,0,1,0,0,18,0
"muffled",0,1,1,1,2,0,0,4,3,1,0,0,1,0,0,0,5,0,0,1,0,1
"names",0,2,0,4,0,2,3,2,0,0,2,1,4,1,2,0,0,0,4,0,6,0
"neither",0,1,1,9,0,2,0,0,2,3,2,0,2,0,0,3,0,0,1,2,1,2
"notes",0,1,0,0,0,1,1,0,2,1,2,0,0,0,0,5,0,0,1,1,0,1
"pack",0,3,4,1,0,0,0,0,3,0,2,1,1,0,1,1,0,2,1,0,1,4
"parts",0,3,2,0,1,2,0,0,0,0,0,2,1,1,0,0,4,3,0,2,0,3
"peace",0,1,4,0,1,0,0,1,0,1,2,1,0,1,0,1,0,0,0,2,0,0
"picking",0,1,1,1,0,0,0,2,0,0,0,0,2,0,1,0,2,2,0,2,5,2
"pieces",0,3,0,2,4,2,0,0,0,2,0,9,0,2,0,2,5,5,4,1,0,3
"pissed",0,1,3,1,0,4,1,0,0,0,1,0,2,0,0,1,0,3,4,0,1,7
"planet",0,2,4,0,1,0,1,0,1,1,1,30,0,0,0,0,12,17,0,0,0,0
"post",0,4,0,9,0,1,0,3,0,0,2,1,2,2,0,0,0,2,0,3,2,1
"pour",0,1,3,1,0,2,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0,7
"presses",0,3,4,2,3,0,1,1,0,0,3,0,1,2,0,2,12,0,1,2,1,0
"pressure",0,1,4,1,0,0,0,0,1,1,0,0,1,0,1,1,7,0,4,2,0,0
"questions",0,5,1,3,0,0,3,0,1,0,1,0,9,0,1,5,0,3,1,1,7,0
"quit",0,3,0,1,0,4,1,0,2,0,2,0,1,0,0,0,1,2,0,0,1,0
"raised",0,2,3,1,0,1,0,1,0,0,0,1,1,0,0,0,2,0,1,1,3,0
"reacts",0,1,3,0,0,4,1,1,0,0,1,12,0,10,0,0,1,2,4,0,2,1
"realize",0,1,2,3,0,3,0,0,0,0,1,0,1,0,3,4,0,1,6,1,1,0
"relieved",0,2,1,0,0,2,0,1,0,0,1,2,1,0,0,2,0,0,0,1,0,1
"remaining",0,4,6,3,0,0,0,0,0,1,2,4,0,0,0,0,2,3,0,0,3,2
"ripping",0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1
"school",0,2,9,0,0,3,11,2,3,0,10,0,9,4,1,32,0,2,4,0,2,2
"seated",0,6,2,3,2,0,0,1,1,0,0,0,0,19,0,0,12,0,0,5,6,0
"service",0,3,1,1,0,3,0,2,0,0,0,5,0,3,1,0,0,1,20,0,6,4
"seven",0,1,0,3,0,0,3,3,0,2,22,0,0,1,0,0,0,6,1,2,1,2
"shape",0,4,5,2,1,0,0,1,5,1,0,0,3,0,1,1,2,1,0,0,1,0
"share",0,6,1,2,4,1,1,0,3,1,1,0,1,0,1,4,0,0,4,2,3,2
"shoes",0,6,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,5,1,0,5,3
"shuts",0,3,0,3,2,3,2,2,0,0,4,0,0,0,0,0,1,0,1,4,1,0
"signs",0,1,1,7,1,0,0,1,0,1,2,1,3,0,0,0,1,1,1,1,3,2
"size",0,1,7,0,1,0,0,0,3,0,0,2,0,0,0,0,2,5,1,4,2,1
"slamming",0,2,4,0,0,1,1,2,0,0,1,0,2,0,0,0,0,2,3,4,0,0
"slows",0,1,0,3,0,0,2,2,0,0,0,1,1,2,0,1,1,2,3,1,0,1
"smash",0,1,5,0,1,3,2,0,0,0,24,0,1,0,0,9,0,2,3,0,0,2
"spent",0,1,1,0,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,2,1,0
"spits",0,3,0,4,0,0,3,1,0,1,0,1,1,0,0,0,1,1,3,0,0,1
"stays",0,2,6,2,0,0,1,0,0,0,0,1,1,0,0,1,0,2,1,1,0,0
"steam",0,1,1,1,1,1,0,1,1,0,0,4,0,0,0,0,2,0,1,4,0,0
"sticks",0,2,2,11,4,1,3,2,0,0,1,0,1,1,0,0,4,2,0,1,3,0
"stretches",0,1,1,1,3,0,0,2,1,1,1,1,0,0,0,1,1,2,0,0,0,0
"strike",0,1,3,2,1,2,1,0,1,0,1,2,2,0,0,0,0,0,2,1,1,1
"stumbles",0,1,5,0,2,2,1,2,1,1,4,1,2,2,1,2,5,0,0,0,0,3
"style",0,2,0,2,2,0,0,1,0,3,1,1,1,0,2,2,0,0,0,0,6,0
"supposed",0,3,4,0,0,5,0,3,0,5,0,1,2,5,2,3,2,3,6,2,0,5
"surprise",0,2,0,3,1,3,0,0,0,0,2,1,3,1,2,2,1,1,1,1,1,1
"surprised",0,2,3,4,0,4,0,1,0,0,5,6,3,0,1,7,0,3,1,3,3,0
"swear",0,1,0,0,0,1,2,0,0,1,3,0,0,1,0,1,0,1,3,0,1,0
"talks",0,1,4,0,1,0,4,0,1,3,1,7,1,1,1,5,0,2,3,3,2,0
"tape",0,2,1,0,0,7,2,1,0,0,1,3,4,0,0,0,0,0,0,3,2,0
"tear",0,4,3,2,2,0,0,0,1,1,0,1,1,0,2,1,0,2,1,1,1,3
"tearing",0,1,3,5,0,0,3,0,1,1,1,0,0,0,1,0,2,2,1,0,0,1
"till",0,7,2,0,0,2,0,0,1,1,0,0,0,1,1,1,9,1,0,0,10,0
"touches",0,2,14,4,0,0,0,0,1,2,2,4,0,1,0,1,5,2,4,1,3,2
"towards",0,8,1,3,6,0,7,0,12,3,2,8,7,24,1,0,0,5,24,0,14,1
"trip",0,1,1,2,0,0,1,1,0,1,0,0,0,2,3,3,2,3,0,1,0,1
"twelve",0,1,0,1,0,0,0,1,0,0,2,1,0,2,0,0,1,3,4,3,2,2
"upon",0,3,5,3,3,0,1,1,4,3,1,2,7,0,1,0,0,0,1,0,5,1
"valley",0,1,0,6,2,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1
"vehicle",0,1,2,0,1,3,1,9,0,0,2,4,2,0,0,0,1,2,7,1,1,0
"voices",0,2,4,7,0,1,0,0,4,0,0,1,0,0,1,0,1,0,5,2,0,2
"warm",0,2,2,2,2,2,1,1,3,0,0,1,1,0,0,1,3,1,1,2,0,0
"ways",0,1,3,2,0,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0
"wears",0,4,2,1,1,4,4,1,0,0,6,1,1,0,0,1,1,0,0,1,3,1
"werent",0,1,1,0,0,1,1,2,0,0,1,0,3,1,2,5,0,0,4,0,1,2
"whether",0,1,1,1,2,1,0,1,2,0,0,0,0,1,3,0,0,0,3,0,0,0
"whispering",0,2,3,0,0,6,1,0,1,0,0,0,1,0,1,2,5,0,1,3,1,0
"whoa",0,1,0,0,0,9,0,4,1,7,3,3,0,0,0,1,0,4,5,0,0,0
"whoever",0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,5,0,2,0,3
"wounded",0,8,4,7,1,0,2,2,0,0,0,3,0,0,0,2,1,1,1,0,0,6
"write",0,1,0,3,0,0,0,0,0,0,2,0,1,2,15,1,2,0,0,3,7,0
"writes",0,2,0,1,0,0,4,0,0,1,5,0,0,0,3,1,0,1,0,0,1,1
"writing",0,2,0,4,0,0,1,1,0,0,9,0,1,4,11,0,0,3,1,2,1,2
"yelling",0,1,7,2,2,1,0,0,2,0,0,3,0,2,0,1,0,3,3,0,4,0
"yells",0,2,7,1,0,0,5,1,5,0,1,5,2,3,0,0,0,3,2,1,10,3
"arrive",0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,1,4,1,4,0,2,1
"attack",0,0,10,1,0,0,1,0,2,0,4,4,3,0,0,3,0,0,1,9,0,0
"awkward",0,0,1,1,0,1,0,2,0,2,2,3,1,0,0,0,0,1,1,1,0,0
"bigger",0,0,1,3,1,2,1,0,0,0,1,2,1,0,0,0,1,2,1,1,0,1
"blade",0,0,6,2,0,1,1,0,1,1,1,6,1,2,0,0,3,0,0,0,3,0
"books",0,0,1,0,1,1,1,0,1,0,10,0,3,0,4,1,0,1,0,6,1,0
"cell",0,0,4,1,8,7,1,0,0,0,15,16,1,0,0,11,1,1,24,0,0,0
"clicks",0,0,1,1,0,0,0,0,0,0,2,0,5,2,0,2,1,2,5,0,3,1
"confusion",0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,2,4,1,1
"contd",0,0,4,0,0,7,0,0,93,0,1,87,45,33,88,1,68,86,95,54,0,0
"cries",0,0,3,6,2,0,3,1,1,0,0,3,1,1,0,0,0,1,2,0,2,0
"destroy",0,0,3,0,4,1,0,0,0,0,4,4,0,0,0,0,1,2,0,1,1,2
"doin",0,0,1,0,0,0,4,17,2,1,0,0,2,0,0,0,0,1,1,0,3,1
"duck",0,0,1,3,1,0,0,0,0,0,2,2,0,0,0,0,1,1,3,0,1,2
"eggs",0,0,2,1,0,0,2,5,2,5,0,0,1,1,0,0,3,0,0,0,1,0
"evil",0,0,1,0,249,2,1,0,1,1,2,4,2,0,0,0,0,0,0,0,2,0
"forgive",0,0,3,1,1,0,2,0,0,5,0,1,1,0,1,1,0,0,0,2,1,0
"furiously",0,0,9,2,0,0,1,0,0,0,2,2,0,0,0,0,0,1,1,2,1,1
"general",0,0,1,14,0,1,1,2,0,0,1,51,0,1,0,0,0,2,7,8,15,13
"gentlemen",0,0,1,0,7,1,1,0,0,1,0,0,1,0,0,0,3,2,0,4,9,0
"glancing",0,0,1,3,0,0,0,0,2,0,0,1,0,0,0,1,2,1,1,6,0,3
"grows",0,0,3,2,0,1,0,1,0,1,2,1,1,0,0,1,2,0,3,2,0,4
"heavily",0,0,4,1,2,0,1,2,0,0,0,1,0,0,0,2,3,2,0,1,0,3
"helmet",0,0,2,1,2,0,1,0,0,7,0,8,0,0,0,0,6,0,1,1,2,2
"hide",0,0,3,3,0,1,1,1,0,1,0,2,1,1,0,3,2,0,1,1,3,0
"hops",0,0,1,4,2,0,1,0,1,2,1,0,1,0,0,0,3,1,2,0,0,1
"hungry",0,0,1,3,2,0,1,2,4,1,0,1,2,1,0,3,2,0,1,0,0,0
"hunting",0,0,1,1,0,0,0,1,0,0,3,2,5,1,1,5,0,0,0,1,0,2
"hurry",0,0,2,3,0,4,4,0,0,2,3,7,2,0,1,1,0,2,4,4,1,4
"indicates",0,0,2,4,1,0,0,2,1,0,0,3,0,0,0,0,3,2,0,1,3,0
"knowing",0,0,2,2,0,0,3,0,0,0,0,4,2,0,0,0,0,1,3,1,6,2
"larger",0,0,5,1,2,0,1,0,1,1,1,2,0,0,0,0,1,3,1,1,0,0
"learn",0,0,16,1,0,1,1,0,5,2,1,1,0,0,4,0,0,2,0,0,2,2
"lines",0,0,1,5,0,0,1,0,0,0,2,2,1,3,1,0,2,1,0,0,4,3
"meat",0,0,5,16,1,0,3,0,1,0,2,3,0,1,0,0,2,1,0,0,1,0
"memory",0,0,2,1,0,0,1,0,1,0,17,0,0,0,0,2,0,6,2,2,2,0
"narrow",0,0,2,1,0,5,1,0,1,0,0,7,1,0,0,1,4,0,2,1,1,3
"officers",0,0,1,9,0,1,3,1,0,0,3,6,2,0,0,0,0,2,5,4,16,5
"older",0,0,1,5,0,0,7,4,0,0,4,2,3,0,0,1,0,2,0,0,5,2
"outer",0,0,4,0,1,0,0,0,1,0,2,2,1,0,0,0,26,1,4,2,0,0
"particular",0,0,1,2,0,2,1,2,0,0,1,1,0,2,0,0,0,3,0,0,0,2
"passed",0,0,1,5,0,0,1,2,3,1,2,2,3,0,0,0,0,0,0,3,2,0
"placed",0,0,2,2,2,0,0,0,0,1,0,2,2,1,1,1,0,0,0,0,2,0
"prepare",0,0,1,1,1,0,1,0,0,0,0,3,0,0,0,1,0,0,1,5,1,5
"presence",0,0,3,3,0,0,1,0,0,0,2,1,1,0,0,0,1,1,1,1,2,1
"progress",0,0,2,2,1,0,0,0,0,0,1,1,3,0,5,0,1,1,3,1,1,3
"pump",0,0,1,0,1,1,3,0,0,0,0,1,0,1,0,1,4,2,0,2,2,0
"realizing",0,0,3,2,1,2,0,0,0,0,0,4,2,0,1,3,0,2,1,2,0,0
"replaced",0,0,2,1,1,1,0,0,0,0,0,2,0,1,0,1,0,1,3,0,1,1
"respect",0,0,2,0,3,1,7,2,2,1,0,1,0,0,2,0,0,1,2,0,4,0
"scattered",0,0,1,0,0,0,1,0,1,0,0,2,1,1,0,1,2,0,1,1,0,1
"search",0,0,1,1,0,1,0,1,0,0,1,3,3,2,0,1,2,0,0,0,3,0
"sending",0,0,2,2,0,1,1,0,0,0,1,1,2,0,0,1,2,3,0,0,1,6
"settle",0,0,1,3,1,2,0,0,2,1,0,0,0,0,2,0,1,0,0,0,1,4
"sheet",0,0,1,1,1,1,0,0,1,4,1,2,0,10,1,1,0,3,2,1,2,2
"shift",0,0,1,3,1,0,0,1,0,0,2,0,2,0,0,1,0,0,9,2,0,1
"ship",0,0,17,1,1,0,0,1,9,0,0,74,0,1,0,0,103,15,0,34,1,4
"simply",0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,12,3
"situation",0,0,1,0,1,0,2,0,0,2,3,1,1,2,3,1,0,1,5,2,3,4
"song",0,0,1,1,4,0,5,0,8,3,0,0,1,0,1,0,0,0,3,0,0,1
"soul",0,0,2,2,3,0,1,0,2,0,1,0,2,1,1,0,0,0,1,1,0,0
